Customer_ID,Name,Age,Gender,Location,Join_Date,Total_Spent,recency_days,purchase_frequency,monetary_total,avg_basket_value,cluster
2257,Alice W.,52,Female,San Diego,2022-12-10,3131.93,22,17,3131.93,184.23,2
2258,Nina X.,19,Female,San Diego,2022-12-26,2171.97,27,10,2171.9700000000003,217.2,3
2259,Henry Y.,23,Male,Philadelphia,2022-06-05,2450.08,19,13,2450.08,188.47,3
2260,Mona Z.,43,Female,San Diego,2023-05-27,3522.29,1,19,3522.29,185.38,1
2261,Bob A.,21,Male,New York,2022-10-05,3034.65,63,14,3034.65,216.76,3
2262,Paul B.,49,Male,Philadelphia,2022-09-05,3884.02,89,18,3884.02,215.78,1
2263,Nina C.,54,Female,New York,2022-01-24,3861.15,2,24,3861.15,160.88,1
2264,Jack D.,28,Male,Los Angeles,2023-06-07,1729.7,22,11,1729.6999999999998,157.25,3
2265,Jack E.,68,Male,Phoenix,2023-01-30,2018.61,11,10,2018.6100000000001,201.86,2
2266,Tina F.,18,Female,Philadelphia,2023-05-13,1747.15,86,13,1747.1499999999999,134.4,3
2267,Karen G.,27,Male,Chicago,2022-07-10,3330.97,57,11,3330.9700000000003,302.82,3
2268,Bob H.,19,Female,San Diego,2023-05-15,2115.53,3,11,2115.5299999999997,192.32,3
2269,Charlie I.,31,Male,San Diego,2023-05-14,300.4,403,1,300.4,300.4,0
2270,Charlie J.,60,Female,New York,2023-07-16,1217.46,246,3,1217.46,405.82,0
2271,Rita K.,60,Male,Houston,2023-10-16,2659.69,61,16,2659.69,166.23,2
2272,Grace L.,67,Male,Philadelphia,2022-01-17,2494.45,42,15,2494.4500000000003,166.3,2
2273,Nina M.,41,Male,Philadelphia,2023-09-25,2489.51,19,15,2489.5099999999998,165.97,2
2274,Rita N.,36,Female,Phoenix,2022-01-22,4506.14,64,19,4506.14,237.17,1
2275,Sam O.,28,Male,Philadelphia,2023-02-26,1267.95,14,9,1267.95,140.88,3
2276,Grace P.,29,Male,Los Angeles,2022-09-28,2030.75,90,10,2030.75,203.08,3
2277,Grace Q.,36,Female,New York,2022-09-24,2135.97,61,16,2135.97,133.5,3
2278,Paul R.,29,Female,Phoenix,2022-09-24,2788.56,29,13,2788.56,214.5,3
2279,Charlie S.,26,Female,New York,2022-06-29,1882.07,32,11,1882.07,171.1,3
2280,Karen T.,64,Male,New York,2023-03-23,1638.92,55,10,1638.92,163.89,2
2281,Eva U.,60,Female,Philadelphia,2023-08-14,1263.58,49,10,1263.58,126.36,2
2282,Ivy V.,32,Male,Chicago,2022-05-20,948.81,177,3,948.81,316.27,0
2283,Diana W.,39,Male,Chicago,2022-11-10,57.85,230,1,57.85,57.85,0
2284,Paul X.,33,Male,Chicago,2022-06-08,2400.37,26,16,2400.37,150.02,3
2285,Tina Y.,19,Female,Chicago,2023-06-19,2787.8,53,11,2787.8,253.44,3
2286,Tina Z.,33,Female,Los Angeles,2022-12-26,2817.7,18,17,2817.7,165.75,3
2287,Charlie A.,24,Female,Houston,2022-05-23,1129.63,26,8,1129.63,141.2,3
2288,Quinn B.,26,Male,Los Angeles,2023-06-12,1713.07,32,10,1713.0700000000002,171.31,3
2289,Mona C.,27,Male,Houston,2023-05-28,732.52,65,2,732.52,366.26,3
2290,Karen D.,18,Male,Phoenix,2023-09-22,1961.37,38,9,1961.37,217.93,3
2291,Grace E.,39,Female,San Diego,2022-07-05,2942.8,39,17,2942.8,173.11,1
2292,Rita F.,41,Male,San Antonio,2023-03-17,3061.24,25,17,3061.24,180.07,1
2293,Tina G.,55,Male,Philadelphia,2022-03-19,3106.74,27,15,3106.74,207.12,2
2294,Diana H.,29,Male,New York,2023-06-21,191.31,235,1,191.31,191.31,0
2295,Tina I.,34,Female,Los Angeles,2023-06-09,3759.78,4,19,3759.78,197.88,1
2296,Mona J.,27,Male,San Antonio,2022-05-21,1146.24,27,10,1146.24,114.62,3
2297,Mona K.,54,Male,Chicago,2023-08-31,2048.98,46,15,2048.98,136.6,2
2298,Alice L.,50,Male,Phoenix,2021-12-17,258.9,261,3,258.9,86.3,0
